Id,App,Name,Description,MainWindowTitle,StartTime,EndTime,Path
10560,,ApplicationFrameHost,Application Frame Host,Settings,14-Jul-21 7:52:08 PM,,C:\WINDOWS\system32\ApplicationFrameHost.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:28:30,2021-07-17T16:29:04,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:29:04,2021-07-17T16:29:38,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:29:38,2021-07-17T16:30:12,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:30:12,2021-07-17T16:30:46,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:30:46,2021-07-17T16:31:20,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:31:20,2021-07-17T16:31:54,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:31:54,2021-07-17T16:32:28,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:32:28,2021-07-17T16:33:02,C:\Windows\System32\LockScreenContentServer.exe
13572,,LockScreenContentServer,LockScreenContent Server,LockScreenContentServerSlideshowHostWindow,2021-07-17T16:33:02,2021-07-17T16:33:36,C:\Windows\System32\LockScreenContentServer.exe
