Id,App,Name,Description,MainWindowTitle,StartTime,EndTime,Path
2104,,ApplicationFrameHost,Application Frame Host,Netflix,2021-07-17T21:24:17,2021-07-17T21:24:52,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:24:52,2021-07-17T21:25:27,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:25:27,2021-07-17T21:26:01,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:26:01,2021-07-17T21:26:39,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:26:39,2021-07-17T21:27:15,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:27:15,2021-07-17T21:27:51,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:27:51,2021-07-17T21:29:16,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:29:16,2021-07-17T21:29:51,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:29:51,2021-07-17T21:30:27,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:30:27,2021-07-17T21:31:03,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:31:03,2021-07-17T21:31:39,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:31:39,2021-07-17T21:32:16,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:32:16,2021-07-17T21:32:51,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:32:51,2021-07-17T21:33:27,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:33:27,2021-07-17T21:34:02,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:34:02,2021-07-17T21:34:36,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:34:36,2021-07-17T21:35:11,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:35:11,2021-07-17T21:35:46,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:35:46,2021-07-17T21:36:21,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:36:21,2021-07-17T21:36:55,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:36:55,2021-07-17T21:37:30,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:37:30,2021-07-17T21:38:05,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:38:05,2021-07-17T21:38:40,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:38:40,2021-07-17T21:39:16,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:39:16,2021-07-17T21:39:53,C:\WINDOWS\system32\ApplicationFrameHost.exe
2104,,ApplicationFrameHost,Application Frame Host,Settings,2021-07-17T21:39:53,2021-07-17T21:40:28,C:\WINDOWS\system32\ApplicationFrameHost.exe
