Id,App,Name,Description,MainWindowTitle,StartTime,EndTime,Path
10560,,ApplicationFrameHost,Application Frame Host,Settings,14-Jul-21 7:52:08 PM,,C:\WINDOWS\system32\ApplicationFrameHost.exe
3152,,SystemSettings,Settings,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",14-Jul-21 7:52:39 PM,,C:\Windows\ImmersiveControlPanel\SystemSettings.exe
16228,,WWAHost,Microsoft WWA Host,Netflix,14-Jul-21 7:52:28 PM,,C:\WINDOWS\system32\wwahost.exe
18816,Firefox,firefox,Firefox,Python | Passing dictionary as keyword arguments - GeeksforGeeks - Mozilla Firefox,16-Jul-21 7:13:25 PM,2021-07-17T15:41:23,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Mozilla Firefox,2021-07-17T15:41:23,2021-07-17T15:41:57,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:41:57,2021-07-17T15:42:31,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:42:31,2021-07-17T15:43:05,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:43:05,2021-07-17T15:43:38,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:43:38,2021-07-17T15:44:12,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:44:12,2021-07-17T15:44:46,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:44:46,2021-07-17T15:45:20,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:45:20,2021-07-17T15:45:53,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:45:53,2021-07-17T15:46:27,C:\Program Files\Mozilla Firefox\firefox.exe
18816,Firefox,firefox,Firefox,Opening a Python thread in a new console window - Stack Overflow - Mozilla Firefox,2021-07-17T15:46:27,,C:\Program Files\Mozilla Firefox\firefox.exe
11508,Microsoft Edge,TextInputHost,,Microsoft Text Input Application,14-Jul-21 7:48:53 PM,,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe
9904,Microsoft Store,WinStore.App,Store,Microsoft Store,14-Jul-21 7:52:08 PM,,C:\Program Files\WindowsApps\Microsoft.WindowsStore_12105.1001.23.0_x64__8wekyb3d8bbwe\WinStore.App.exe
11916,Steam,steam,Steam,Steam,17-Jul-21 12:43:18 PM,,C:\Program Files (x86)\Steam\Steam.exe
21804,Visual Studio Code,Code,Visual Studio Code,main.py - workspacesManager - Visual Studio Code,16-Jul-21 7:13:15 PM,2021-07-17T15:46:27,C:\Users\GiladHecht\AppData\Local\Programs\Microsoft VS Code\Code.exe
21804,Visual Studio Code,Code,Visual Studio Code,gatherer.py - workspacesManager - Visual Studio Code,2021-07-17T15:46:27,,C:\Users\GiladHecht\AppData\Local\Programs\Microsoft VS Code\Code.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,~\Workspace\multithreading ~ PowerShell 7.1 (10264),16-Jul-21 7:13:04 PM,2021-07-17T15:43:38,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,workspacesManager [threading] ~ PowerShell 7.1 (9680),2021-07-17T15:43:38,2021-07-17T15:44:12,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,workspacesManager [threading] ~ PowerShell 7.1 (9680),2021-07-17T15:44:12,2021-07-17T15:44:46,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,workspacesManager [threading] ~ PowerShell 7.1 (9680),2021-07-17T15:44:46,2021-07-17T15:45:20,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,workspacesManager [threading] ~ PowerShell 7.1 (9680),2021-07-17T15:45:20,2021-07-17T15:45:53,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
6524,Windows PowerShell,WindowsTerminal,WindowsTerminal.exe,workspacesManager [threading] ~ PowerShell 7.1 (9680),2021-07-17T15:45:53,2021-07-17T15:46:27,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.8.1521.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
