FullName,Name,LastWriteTime,LastAccessTime,Extension,Directory,Relevance,Open,Type
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,__pycache__,2021-07-17T23:28:11,2021-07-18T22:16:04,,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,489444.2683845918,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__,__pycache__,2021-07-17T23:08:48,2021-07-18T22:16:04,,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__,2993396.627959138,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\src\project\__pycache__,__pycache__,2021-07-17T23:22:53,2021-07-18T22:16:04,,C:\Users\GiladHecht\Workspace\workspacesManager\src\project\__pycache__,489444.2683845918,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__\app.cpython-37.pyc,app.cpython-37.pyc,2020-07-27T22:35:40,2021-05-29T23:14:29,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__\app.cpython-38.pyc,app.cpython-38.pyc,2020-08-09T00:47:46,2021-05-29T23:14:29,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,0.023077989641363563,False,pyc
he__   C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__\appsGatherer.cpython-38.pyc,appsGatherer.cpython-38.pyc,2021-06-23T22:07:44,2021-06-23T22:18:47,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycac,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\appsGatherer.py,appsGatherer.py,2021-10-31T00:43:55,2021-10-31T00:43:55,.py,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,0.02538578860549988,False,py
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__\appsHandler.cpython-38.pyc,appsHandler.cpython-38.pyc,2020-09-06T22:02:30,2021-05-29T23:14:29,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,0.023077989641363563,False,pyc
he__   C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__\appsHandler.cpython-38.pyc,appsHandler.cpython-38.pyc,2021-06-20T18:54:29,2021-06-20T18:54:29,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycac,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\ui\__pycache__\cliClient.cpython-38.pyc,cliClient.cpython-38.pyc,2021-06-20T19:07:50,2021-06-20T19:07:50,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\ui\__pycache__,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\.vscode\.ropeproject\config.py,config.py,2020-07-06T22:39:11,2021-10-31T00:26:26,.py,C:\Users\GiladHecht\Workspace\workspacesManager\.vscode\.ropeproject,92.12162344144838,True,py
C:\Users\GiladHecht\Workspace\workspacesManager\src\cpp,cpp,2021-04-30T15:19:41,2021-07-18T22:15:25,,C:\Users\GiladHecht\Workspace\workspacesManager\src\cpp,148.36279576868725,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\.rarian\data.json,data.json,2021-10-31T00:58:27,2021-10-31T00:58:27,.json,C:\Users\GiladHecht\Workspace\workspacesManager\.rarian,155952.02745902917,True,json
C:\Users\GiladHecht\Workspace\workspacesManager\src\executor,executor,2021-10-31T00:43:55,2021-10-31T00:43:55,,C:\Users\GiladHecht\Workspace\workspacesManager\src\executor,52.000254826928476,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\src\executor\executor.py,executor.py,2021-10-31T00:43:55,2021-10-31T00:43:55,.py,C:\Users\GiladHecht\Workspace\workspacesManager\src\executor,0.02538578860549988,False,py
he__   C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__\explorer.cpython-38.pyc,explorer.cpython-38.pyc,2021-06-23T22:07:44,2021-06-23T22:18:47,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycac,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\explorer.py,explorer.py,2021-10-31T00:43:55,2021-10-31T00:43:55,.py,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,0.02538578860549988,False,py
C:\Users\GiladHecht\Workspace\workspacesManager\.rarian\files.csv,files.csv,2021-10-31T00:58:27,2021-10-31T00:58:27,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\.rarian,155952.02745902917,True,csv
he__   C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__\filesGatherer.cpython-38.pyc,filesGatherer.cpython-38.pyc,2021-06-23T22:07:44,2021-06-23T22:18:47,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycac,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\filesGatherer.py,filesGatherer.py,2021-10-31T00:43:55,2021-10-31T00:43:55,.py,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,0.02538578860549988,False,py
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,gatherer,2021-10-31T00:43:55,2021-10-31T00:43:55,,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,52.000254826928476,False,dir
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__\gatherer.cpython-38.pyc,gatherer.cpython-38.pyc,2021-06-21T22:26:17,2021-06-21T22:26:17,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,0.023077989641363563,False,pyc
he__   C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycache__\gatherer.cpython-38.pyc,gatherer.cpython-38.pyc,2021-06-23T22:07:44,2021-06-23T22:18:46,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\__pycac,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer\gatherer.py,gatherer.py,2021-10-31T00:43:55,2021-10-31T00:43:55,.py,C:\Users\GiladHecht\Workspace\workspacesManager\src\gatherer,0.02538578860549988,False,py
C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts\getChildItems.ps1,getChildItems.ps1,2021-06-12T11:24:43,2021-10-30T23:58:48,.ps1,C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts,92.12162344144838,True,ps1
C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts\getLinksInStartDir.ps1,getLinksInStartDir.ps1,2020-09-05T20:23:37,2021-10-30T23:58:48,.ps1,C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts,92.12162344144838,True,ps1
C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts\getProcessData.ps1,getProcessData.ps1,2021-05-08T11:36:01,2021-10-30T23:58:48,.ps1,C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts,92.12162344144838,True,ps1
C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts\getStartApps.ps1,getStartApps.ps1,2020-09-05T20:23:37,2021-10-30T23:58:48,.ps1,C:\Users\GiladHecht\Workspace\workspacesManager\powershellScripts,92.12162344144838,True,ps1
C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__\handlersManager.cpython-38.pyc,handlersManager.cpython-38.pyc,2021-06-21T22:26:01,2021-06-21T22:26:01,.pyc,C:\Users\GiladHecht\Workspace\workspacesManager\src\__pycache__,0.023077989641363563,False,pyc
C:\Users\GiladHecht\Workspace\workspacesManager\jupyter,jupyter,2021-05-28T15:52:49,2021-10-31T00:29:27,,C:\Users\GiladHecht\Workspace\workspacesManager\jupyter,592227.5647453555,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\.vscode\launch.json,launch.json,2021-10-30T20:58:19,2021-10-30T20:58:19,.json,C:\Users\GiladHecht\Workspace\workspacesManager\.vscode,41067.04300236246,True,json
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-09-19T10-01-04.csv,log-2020-09-19T10-01-04.csv,2020-09-19T10:27:02,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-09-19T15-07-31.csv,log-2020-09-19T15-07-31.csv,2020-09-22T02:03:09,2021-09-22T19:15:58,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-11T17-01-39.csv,log-2020-10-11T17-01-39.csv,2020-10-11T17:34:21,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-11T17-34-39.csv,log-2020-10-11T17-34-39.csv,2020-10-12T10:31:26,2021-09-22T19:20:22,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-12T14-05-07.csv,log-2020-10-12T14-05-07.csv,2020-10-12T23:09:37,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-12T23-10-38.csv,log-2020-10-12T23-10-38.csv,2020-10-12T23:10:40,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-12T23-13-01.csv,log-2020-10-12T23-13-01.csv,2020-10-13T02:27:48,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-13T09-55-32.csv,log-2020-10-13T09-55-32.csv,2020-10-13T11:24:12,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-13T19-44-07.csv,log-2020-10-13T19-44-07.csv,2020-10-14T01:36:59,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-14T19-06-16.csv,log-2020-10-14T19-06-16.csv,2020-10-15T01:24:07,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-15T19-10-20.csv,log-2020-10-15T19-10-20.csv,2020-10-15T19:24:55,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-15T19-25-34.csv,log-2020-10-15T19-25-34.csv,2020-10-16T01:12:25,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-16T09-41-16.csv,log-2020-10-16T09-41-16.csv,2020-10-17T02:01:27,2021-09-22T19:15:43,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-17T10-38-59.csv,log-2020-10-17T10-38-59.csv,2020-10-18T00:32:29,2021-09-22T19:17:01,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-18T21-27-40.csv,log-2020-10-18T21-27-40.csv,2020-10-19T01:02:00,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-20T00-03-19.csv,log-2020-10-20T00-03-19.csv,2020-10-20T00:38:59,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-20T19-56-31.csv,log-2020-10-20T19-56-31.csv,2020-10-21T00:12:48,2021-09-22T19:14:54,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-21T18-45-57 [conflicted 2].csv,log-2020-10-21T18-45-57 [conflicted 2].csv,2020-10-22T00:22:47,2021-09-22T19:13:49,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-21T18-45-57 [conflicted 3].csv,log-2020-10-21T18-45-57 [conflicted 3].csv,2020-10-22T00:23:50,2021-09-22T19:13:55,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-21T18-45-57 [conflicted 4].csv,log-2020-10-21T18-45-57 [conflicted 4].csv,2020-10-22T00:24:52,2021-09-22T19:13:57,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-21T18-45-57 [conflicted].csv,log-2020-10-21T18-45-57 [conflicted].csv,2020-10-22T00:21:44,2021-09-22T19:13:45,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-21T18-45-57.csv,log-2020-10-21T18-45-57.csv,2020-10-22T17:13:30,2021-09-22T19:15:32,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-24T08-30-25.csv,log-2020-10-24T08-30-25.csv,2020-10-25T22:35:50,2021-09-22T19:15:00,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-26T21-52-46.csv,log-2020-10-26T21-52-46.csv,2020-10-26T23:50:14,2021-09-22T19:14:09,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-10-27T18-34-46.csv,log-2020-10-27T18-34-46.csv,2020-10-28T00:19:46,2021-09-22T19:12:51,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-08T19-47-38.csv,log-2020-11-08T19-47-38.csv,2020-11-12T11:53:24,2021-09-22T19:20:24,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-12T12-02-36.csv,log-2020-11-12T12-02-36.csv,2020-11-12T18:26:40,2021-09-22T19:12:35,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-12T19-13-08.csv,log-2020-11-12T19-13-08.csv,2020-11-14T20:01:28,2021-09-22T19:17:24,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-15T18-49-31 (conflicted).csv,log-2020-11-15T18-49-31 (conflicted).csv,2020-11-18T14:06:27,2021-09-22T19:17:20,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-15T18-49-31.csv,log-2020-11-15T18-49-31.csv,2020-11-18T23:49:58,2021-09-22T19:19:14,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-19T12-47-48.csv,log-2020-11-19T12-47-48.csv,2020-11-19T15:13:20,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-22T19-01-19.csv,log-2020-11-22T19-01-19.csv,2020-11-22T22:58:17,2021-09-22T19:15:06,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-23T21-49-44.csv,log-2020-11-23T21-49-44.csv,2020-11-24T18:05:31,2021-09-22T19:14:56,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T18-07-12.csv,log-2020-11-24T18-07-12.csv,2020-11-24T20:51:20,2021-09-22T19:15:13,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T20-54-08.csv,log-2020-11-24T20-54-08.csv,2020-11-24T20:55:43,2021-09-22T19:12:35,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T20-57-15.csv,log-2020-11-24T20-57-15.csv,2020-11-24T20:57:16,2021-09-22T19:12:35,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T21-17-55.csv,log-2020-11-24T21-17-55.csv,2020-11-24T22:07:33,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T22-09-26.csv,log-2020-11-24T22-09-26.csv,2020-11-24T22:21:27,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T22-32-30.csv,log-2020-11-24T22-32-30.csv,2020-11-24T22:33:34,2021-09-22T19:12:35,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-24T22-35-22.csv,log-2020-11-24T22-35-22.csv,2020-11-25T08:32:01,2021-09-22T19:14:15,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 1).csv,log-2020-11-25T08-33-55 (conflicted 1).csv,2020-11-25T20:16:31,2021-09-22T19:18:57,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 2).csv,log-2020-11-25T08-33-55 (conflicted 2).csv,2020-11-25T20:17:35,2021-09-22T19:18:57,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 3).csv,log-2020-11-25T08-33-55 (conflicted 3).csv,2020-11-25T20:18:06,2021-09-22T19:18:57,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 4).csv,log-2020-11-25T08-33-55 (conflicted 4).csv,2020-11-25T20:18:38,2021-09-22T19:18:57,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 5).csv,log-2020-11-25T08-33-55 (conflicted 5).csv,2020-11-25T20:19:09,2021-09-22T19:18:58,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 6).csv,log-2020-11-25T08-33-55 (conflicted 6).csv,2020-11-25T20:19:41,2021-09-22T19:18:59,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted 7).csv,log-2020-11-25T08-33-55 (conflicted 7).csv,2020-11-26T00:29:39,2021-09-22T19:19:04,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55 (conflicted).csv,log-2020-11-25T08-33-55 (conflicted).csv,2020-11-25T20:15:28,2021-09-22T19:18:56,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-25T08-33-55.csv,log-2020-11-25T08-33-55.csv,2020-11-26T00:33:21,2021-09-22T19:19:08,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-26T18-31-54 (conflicted).csv,log-2020-11-26T18-31-54 (conflicted).csv,2020-11-28T19:05:09,2021-09-22T19:17:03,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-26T18-31-54.csv,log-2020-11-26T18-31-54.csv,2020-11-30T23:25:40,2021-09-22T19:19:08,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-11-30T23-27-42.csv,log-2020-11-30T23-27-42.csv,2020-11-30T23:59:39,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-01T18-43-15 (conflicted).csv,log-2020-12-01T18-43-15 (conflicted).csv,2020-12-02T19:19:34,2021-09-22T19:15:29,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-01T18-43-15 [conflicted 2].csv,log-2020-12-01T18-43-15 [conflicted 2].csv,2020-12-02T19:18:30,2021-09-22T19:15:28,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-01T18-43-15.csv,log-2020-12-01T18-43-15.csv,2020-12-02T23:22:16,2021-09-22T19:16:42,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T14-13-03.csv,log-2020-12-03T14-13-03.csv,2020-12-03T18:37:58,2021-09-22T19:14:12,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T19-35-32 (conflicted 1).csv,log-2020-12-03T19-35-32 (conflicted 1).csv,2020-12-04T01:33:46,2021-09-22T19:14:28,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T19-35-32 (conflicted 2).csv,log-2020-12-03T19-35-32 (conflicted 2).csv,2020-12-04T10:04:38,2021-09-22T19:15:18,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T19-35-32 (conflicted).csv,log-2020-12-03T19-35-32 (conflicted).csv,2020-12-03T23:39:43,2021-09-22T19:13:34,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T19-35-32 [conflicted].csv,log-2020-12-03T19-35-32 [conflicted].csv,2020-12-03T20:41:33,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-03T19-35-32.csv,log-2020-12-03T19-35-32.csv,2020-12-04T13:59:07,2021-09-22T19:16:11,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
C:\Users\GiladHecht\Workspace\workspacesManager\logs\log-2020-12-04T16-03-26.csv,log-2020-12-04T16-03-26.csv,2020-12-05T14:38:16,2021-09-22T19:12:36,.csv,C:\Users\GiladHecht\Workspace\workspacesManager\logs,92.12162344144838,True,csv
