FullName,Name,LastWriteTime,LastAccessTime,Extension,Directory,Relevance,Open,Type
C:\Users\GiladHecht\Workspace\workspacesManager\.gitignore,.gitignore,2021-10-31T00:10:05,2021-10-31T00:10:05,.gitignore,C:\Users\GiladHecht\Workspace\workspacesManager,117169.0664605782,True,gitignore
C:\Users\GiladHecht\Workspace\workspacesManager\.ipynb_checkpoints,.ipynb_checkpoints,2021-10-30T18:54:44,2021-10-31T00:29:27,.ipynb_checkpoints,C:\Users\GiladHecht\Workspace\workspacesManager\.ipynb_checkpoints,5574249359.137202,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\jupyter\.ipynb_checkpoints,.ipynb_checkpoints,2021-04-22T16:41:10,2021-10-31T00:29:27,.ipynb_checkpoints,C:\Users\GiladHecht\Workspace\workspacesManager\jupyter\.ipynb_checkpoints,5574249359.137202,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\.rarian,.rarian,2021-10-31T00:10:05,2021-10-31T00:10:05,.rarian,C:\Users\GiladHecht\Workspace\workspacesManager\.rarian,188701.95322542542,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\.vscode\.ropeproject,.ropeproject,2021-04-22T16:41:08,2021-10-31T00:29:27,.ropeproject,C:\Users\GiladHecht\Workspace\workspacesManager\.vscode\.ropeproject,5574249359.137202,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\.vscode,.vscode,2021-04-22T16:41:07,2021-10-31T00:29:27,.vscode,C:\Users\GiladHecht\Workspace\workspacesManager\.vscode,5574249359.137202,True,dir
C:\Users\GiladHecht\Workspace\workspacesManager\LICENSE,LICENSE,2020-06-11T19:23:48,2021-10-30T23:58:48,,C:\Users\GiladHecht\Workspace\workspacesManager,92.12162344144838,True,
C:\Users\GiladHecht\Workspace\workspacesManager\.ipynb_checkpoints\README-checkpoint.md,README-checkpoint.md,2020-06-11T19:23:48,2021-10-30T18:54:46,.md,C:\Users\GiladHecht\Workspace\workspacesManager\.ipynb_checkpoints,92.12162344144838,True,md
C:\Users\GiladHecht\Workspace\workspacesManager\README.md,README.md,2021-06-07T00:25:08,2021-10-30T23:58:48,.md,C:\Users\GiladHecht\Workspace\workspacesManager,619.7482170341378,True,md
C:\Users\GiladHecht\Workspace\workspacesManager\src\ui\__pycache__,__pycache__,2021-07-18T21:15:06,2021-07-18T22:15:25,,C:\Users\GiladHecht\Workspace\workspacesManager\src\ui\__pycache__,47.272958933571346,False,dir
